Variable,R2,FstatP,VarType,Sign,Drop,Field Name,Description,Values,Notes,Drop VarName
IDHE,8.87E-05,0.031180464,categorical,Not Applicable,No,Survey - Donor - Health,An individual within the household completed a survey indicating they donate to health causes.,"Y = Yes
U = Unknown",Drop U,IDHE_U
IDOT,-1.90E-05,0.639045905,categorical,Not Applicable,No,Survey - Donor - Other,An individual within the household completed a survey indicating they donate to non-specific causes.,"Y = Yes
U = Unknown",Drop U,IDOT_U
IDPC,-1.43E-05,0.519772505,categorical,Not Applicable,No,Survey - Donor - Political/Conservative,An individual within the household completed a survey indicating they donate to political/conservative causes.,"Y = Yes
U = Unknown",Drop U,IDPC_U
IDPL,-2.38E-05,0.875332631,categorical,Not Applicable,No,Survey - Donor - Political/Liberal,An individual within the household completed a survey indicating they donate to political/liberal causes.,"Y = Yes
U = Unknown",Drop U,IDPL_U
IDRE,-6.59E-06,0.393075972,categorical,Not Applicable,No,Survey - Donor - Religious,An individual within the household completed a survey indicating they donate to religious causes.,"Y = Yes
U = Unknown",Drop U,IDRE_U
IDVE,-8.45E-06,0.419025138,categorical,Not Applicable,No,Survey - Donor - Veterans,An individual within the household completed a survey indicating they donate to veterans causes.,"Y = Yes
U = Unknown",Drop U,IDVE_U
ISHUM,-7.24E-06,0.401944322,categorical,Not Applicable,No,Survey - Donor - Humanitarian or World Relief,An individual within the household completed a survey indicating they donate to humanitarian or world relief causes.,"Y = Yes
U = Unknown",Drop U,ISHUM_U
ISOT,2.33E-07,0.315016106,categorical,Not Applicable,No,Survey - Sporting - Other,An individual within the household completed a survey indicating they regularly watch or participate in other sport activities.,"Y = Yes
U = Unknown",Drop U,ISOT_U
ISCA,0.000674457,8.43E-08,categorical,Not Applicable,No,Survey - Sporting - Camping or Hiking,An individual within the household completed a survey indicating they regularly watch or participate in camping or hiking.,"Y = Yes
U = Unknown",Drop U,ISCA_U
ISBB,2.98E-06,0.289388987,categorical,Not Applicable,No,Survey - Sporting - Baseball,An individual within the household completed a survey indicating they regularly watch or participate in baseball.,"Y = Yes
U = Unknown",Drop U,ISBB_U
ISBO,-2.11E-05,0.71657117,categorical,Not Applicable,No,Survey - Sporting - Boating or Sailing,An individual within the household completed a survey indicating they regularly watch or participate in boating or sailing.,"Y = Yes
U = Unknown",Drop U,ISBO_U
ISBK,0.000245426,0.000872992,categorical,Not Applicable,No,Survey - Sporting - Basketball,An individual within the household completed a survey indicating they regularly watch or participate in basketball.,"Y = Yes
U = Unknown",Drop U,ISBK_U
ISFS,0.000456497,8.83E-06,categorical,Not Applicable,No,Survey - Sporting - Fishing,An individual within the household completed a survey indicating they regularly watch or participate in fishing.,"Y = Yes
U = Unknown",Drop U,ISFS_U
ISFO,0.000128962,0.012101455,categorical,Not Applicable,No,Survey - Sporting - Football,An individual within the household completed a survey indicating they regularly watch or participate in football.,"Y = Yes
U = Unknown",Drop U,ISFO_U
ISFI,-1.83E-05,0.618966071,categorical,Not Applicable,No,Survey - Sporting - Fitness,An individual within the household completed a survey indicating they regularly watch or participate in fitness activities.,"Y = Yes
U = Unknown",Drop U,ISFI_U
ISGO,-1.24E-05,0.483941978,categorical,Not Applicable,No,Survey - Sporting - Golf,An individual within the household completed a survey indicating they regularly watch or participate in golf.,"Y = Yes
U = Unknown",Drop U,ISGO_U
ISHO,-2.04E-05,0.688915029,categorical,Not Applicable,No,Survey - Sporting - Hockey,An individual within the household completed a survey indicating they regularly watch or participate in hockey.,"Y = Yes
U = Unknown",Drop U,ISHO_U
ISHU,0.000445003,1.13E-05,categorical,Not Applicable,No,Survey - Sporting - Hunting,An individual within the household completed a survey indicating they regularly watch or participate in hunting.,"Y = Yes
U = Unknown",Drop U,ISHU_U
ISNA,0.000350503,8.72E-05,categorical,Not Applicable,No,Survey - Sporting - NASCAR,An individual within the household completed a survey indicating they regularly watch or participate in NASCAR.,"Y = Yes
U = Unknown",Drop U,ISNA_U
ISSN,-8.14E-06,0.414573771,categorical,Not Applicable,No,Survey - Sporting - Snow Skiing,An individual within the household completed a survey indicating they regularly watch or participate in snow skiing.,"Y = Yes
U = Unknown",Drop U,ISSN_U
ISWA,-1.13E-05,0.464549161,categorical,Not Applicable,No,Survey - Sporting - Walking,An individual within the household completed a survey indicating they regularly watch or participate in walking.,"Y = Yes
U = Unknown",Drop U,ISWA_U
ISRU,7.43E-05,0.044112274,categorical,Not Applicable,No,Survey - Sporting - Running,An individual within the household completed a survey indicating they regularly watch or participate in running.,"Y = Yes
U = Unknown",Drop U,ISRU_U
ISSC,-2.00E-05,0.672667198,categorical,Not Applicable,No,Survey - Sporting - Scuba,An individual within the household completed a survey indicating they regularly watch or participate in scuba diving.,"Y = Yes
U = Unknown",Drop U,ISSC_U
ISTE,0.000173552,0.004360525,categorical,Not Applicable,No,Survey - Sporting - Tennis,An individual within the household completed a survey indicating they regularly watch or participate in tennis.,"Y = Yes
U = Unknown",Drop U,ISTE_U
ISWL,-2.21E-05,0.763551708,categorical,Not Applicable,No,Survey - Sporting - Weight Lifting,An individual within the household completed a survey indicating they regularly watch or participate in weight lifting.,"Y = Yes
U = Unknown",Drop U,ISWL_U
ISBY,3.07E-05,0.132528054,categorical,Not Applicable,No,Survey - Sporting - Biking,An individual within the household completed a survey indicating they regularly watch or participate in biking.,"Y = Yes
U = Unknown",Drop U,ISBY_U
ISEXTREM,-2.61E-06,0.344754299,categorical,Not Applicable,No,Survey - Sporting - Extreme Sports,An individual within the household completed a survey indicating they participate in extreme sports.,"Y = Yes
U = Unknown",Drop U,ISEXTREM_U
ISMTRCRS,0.000117778,0.015695782,categorical,Not Applicable,No,Survey - Sporting - Motocross,An individual within the household completed a survey indicating they participate in motocross.,"Y = Yes
U = Unknown",Drop U,ISMTRCRS_U
ISSKATE,-2.37E-05,0.865992992,categorical,Not Applicable,No,Survey - Sporting - Skateboarding,An individual within the household completed a survey indicating they participate in skateboarding.,"Y = Yes
U = Unknown",Drop U,ISSKATE_U
ISSNWBRD,-2.38E-05,0.880277932,categorical,Not Applicable,No,Survey - Sporting - Snowboarding,An individual within the household completed a survey indicating they participate in snowboarding.,"Y = Yes
U = Unknown",Drop U,ISSNWBRD_U
ISROLLER,-1.85E-05,0.623025132,categorical,Not Applicable,No,Survey - Sporting - Rollerblading,An individual within the household completed a survey indicating they participate in rollerblading.,"Y = Yes
U = Unknown",Drop U,ISROLLER_U
ISPO,0.000257723,0.000665095,categorical,Not Applicable,No,Survey - Sporting Interests,An individual within the household completed a survey indicating they regularly watch or participate in sporting activities.,"Y = Yes
U = Unknown",Drop U,ISPO_U
PRESTI,0.0002766,0.000438699,categorical,Not Applicable,No,Survey - Travel,An individual within the household completed a survey indicating they travel.,"Y = Yes
U = Unknown",Drop U,PRESTI_U
ITBU,5.02E-06,0.27209125,categorical,Not Applicable,No,Survey - Travel - Business USA,An individual within the household completed a survey indicating business travel within the USA.,"Y = Yes
U = Unknown",Drop U,ITBU_U
ITBI,8.92E-05,0.030785494,categorical,Not Applicable,No,Survey - Travel - Business International,An individual within the household completed a survey indicating international business travel.,"Y = Yes
U = Unknown",Drop U,ITBI_U
ITPU,0.00013446,0.010656316,categorical,Not Applicable,No,Survey - Travel - Personal USA,An individual within the household completed a survey indicating personal travel within the USA.,"Y = Yes
U = Unknown",Drop U,ITPU_U
ITPI,0.000126615,0.012778339,categorical,Not Applicable,No,Survey - Travel - Personal International,An individual within the household completed a survey indicating international personal travel.,"Y = Yes
U = Unknown",Drop U,ITPI_U
ITCV,0.0002243,0.001395651,categorical,Not Applicable,No,Survey - Travel - Casino Vacations - Obsolete,An individual within the household completed a survey indicating they take casino vacations.,"Y = Yes
U = Unknown",Drop U,ITCV_U
ITFV,2.65E-05,0.148588521,categorical,Not Applicable,No,Survey - Travel - Family Vacations,An individual within the household completed a survey indicating they take family vacations.,"Y = Yes
U = Unknown",Drop U,ITFV_U
ITFF,-2.20E-05,0.755270077,categorical,Not Applicable,No,Survey - Travel - Frequent Flyers,An individual within the household completed a survey indicating they are frequent flyers.,"Y = Yes
U = Unknown",Drop U,ITFF_U
ITTIME,1.47E-05,0.205132439,categorical,Not Applicable,No,Survey - Travel - Timeshare,An individual within the household completed a survey indicating timeshare vacations.,"Y = Yes
U = Unknown",Drop U,ITTIME_U
IVCR,-9.43E-06,0.433697312,categorical,Not Applicable,No,Survey - Travel - Vacation Cruises,An individual within the household completed a survey indicating they take cruise vacations.,"Y = Yes
U = Unknown",Drop U,IVCR_U
IVPARKS,9.81E-06,0.236275547,categorical,Not Applicable,No,Survey - Travel - Attractions/Theme Parks,An individual within the household completed a survey indicating vacations to attractions or theme parks.,"Y = Yes
U = Unknown",Drop U,IVPARKS_U
ITRV,-2.14E-05,0.728696675,categorical,Not Applicable,No,Survey - Travel - RV,An individual within the household completed a survey indicating recreational vehicle vacations. ,"Y = Yes
U = Unknown",Drop U,ITRV_U
PRESRI,0.000112961,0.01756725,categorical,Not Applicable,No,Survey - Religious,An individual within the household completed a survey indicating they participate in religious activities.,"Y = Yes
U = Unknown",Drop U,PRESRI_U
IOAPPLE,-2.39E-05,0.890256389,categorical,Not Applicable,No,Survey - Electronics - Apple Device,An individual within the household completed a survey indicating they own an Apple device.,"Y = Yes
U = Unknown",Drop U,IOAPPLE_U
IOCABLE,-2.39E-05,0.893860986,categorical,Not Applicable,No,Survey - Electronics - Cable TV,An individual within the household completed a survey indicating they have a cable connection for their television.,"Y = Yes
U = Unknown",Drop U,IOCABLE_U
IOHISPED,-2.38E-05,0.882502854,categorical,Not Applicable,No,Survey - Electronics - High Speed Internet,An individual within the household completed a survey indicating they have a digital subscriber line.,"Y = Yes
U = Unknown",Drop U,IOHISPED_U
IODVR,-1.06E-05,0.45243082,categorical,Not Applicable,No,Survey - Electronics - DVR,An individual within the household completed a survey indicating they own a digital video recorder.,"Y = Yes
U = Unknown",Drop U,IODVR_U
IOGPS,1.03E-05,0.233139424,categorical,Not Applicable,No,Survey - Electronics - GPS,An individual within the household completed a survey indicating they own a global positioning system.,"Y = Yes
U = Unknown",Drop U,IOGPS_U
IODVDPLR,1.95E-05,0.179716791,categorical,Not Applicable,No,Survey - Electronics - HD DVD Player,An individual within the household completed a survey indicating they own a high definition digital video disk player.,"Y = Yes
U = Unknown",Drop U,IODVDPLR_U
IOHDTV,-1.14E-05,0.465687481,categorical,Not Applicable,No,Survey - Electronics - HDTV,An individual within the household completed a survey indicating they own a high definition television.,"Y = Yes
U = Unknown",Drop U,IOHDTV_U
IOHMTHR,3.71E-05,0.112292323,categorical,Not Applicable,No,Survey - Electronics - Home Theater System,An individual within the household completed a survey indicating they own a home theater system.,"Y = Yes
U = Unknown",Drop U,IOHMTHR_U
IOSATRAD,-2.24E-05,0.778258087,categorical,Not Applicable,No,Survey - Electronics - Satellite Radio,An individual within the household completed a survey indicating they have satellite radio.,"Y = Yes
U = Unknown",Drop U,IOSATRAD_U
IOSATELL,5.44E-05,0.072055083,categorical,Not Applicable,No,Survey - Electronics - Satellite TV,An individual within the household completed a survey indicating they have satellite television.,"Y = Yes
U = Unknown",Drop U,IOSATELL_U
IOVIDGAM,-2.42E-05,0.935322963,categorical,Not Applicable,No,Survey - Electronics - Video Game Systems,An individual within the household completed a survey indicating they own a video game system.,"Y = Yes
U = Unknown",Drop U,IOVIDGAM_U
IOELEOT,-1.05E-05,0.450319182,categorical,Not Applicable,No,Survey - Electronics Other,An individual within the household completed a survey indicating they own other types of electronics.,"Y = Yes
U = Unknown",Drop U,IOELEOT_U
